,Avg Sample Range,Avg Sample Var,PRNG,Pop Range,Pop Var,Pop size,Range Bias,Range Bias/SE,Range SE,Sample size,Var Bias,Var Bias/SE,Var SE,method,seed
0,0.133339,0.06898004,RANDU,0.13333333333333333,0.06896551724137931,30,5.666666666681586e-06,0.11559655607145294,4.902106826762975e-05,2,1.4522758620696963e-05,0.5366075278649459,2.7064023269446324e-05,extreme items,100
1,0.12897168,0.06448584,RANDU,0.13333333333333333,0.06896551724137931,30,-0.004361653333333326,-88.9750771958079,4.902106826762975e-05,2,-0.004479677241379307,-165.521482034661,2.7064023269446324e-05,least freq sample,100
2,0.13332942,0.06896507,SD,0.13333333333333333,0.06896551724137931,30,-3.91333333332744e-06,-0.07982962166313182,4.902106826762975e-05,2,-4.4724137930607366e-07,-0.01652531018220719,2.7064023269446324e-05,extreme items,100
3,0.12872958,0.06436479,SD,0.13333333333333333,0.06896551724137931,30,-0.004603753333333321,-93.91377005901222,4.902106826762975e-05,2,-0.004600727241379304,-169.99420949261645,2.7064023269446324e-05,least freq sample,100
4,0.13332714,0.06896207,SD,0.13333333333333333,0.06896551724137931,30,-6.1933333333208385e-06,-0.1263402359880946,4.902106826762975e-05,2,-3.447241379309074e-06,-0.1273735743200016,2.7064023269446324e-05,extreme items,233424280
5,0.12873742,0.06436871,SD,0.13333333333333333,0.06896551724137931,30,-0.00459591333333334,-93.75383882378947,4.902106826762975e-05,2,-0.004596807241379314,-169.8493677608102,2.7064023269446324e-05,least freq sample,233424280
6,0.13335264,0.0689832,MT,0.13333333333333333,0.06896551724137931,30,1.930666666666303e-05,0.3938442663317451,4.902106826762975e-05,2,1.7682758620685135e-05,0.6533676994228689,2.7064023269446324e-05,extreme items,100
7,0.12873032,0.06436516,MT,0.13333333333333333,0.06896551724137931,30,-0.004603013333333322,-93.89867450874884,4.902106826762975e-05,2,-0.004600357241379305,-169.98053820670614,2.7064023269446324e-05,least freq sample,100
8,0.1333344,0.06896824,MT,0.13333333333333333,0.06896551724137931,30,1.066666666660332e-06,0.021759351730910516,4.902106826762975e-05,2,2.722758620690713e-06,0.10060435558982636,2.7064023269446324e-05,extreme items,233424280
9,0.1287601,0.06438005,MT,0.13333333333333333,0.06896551724137931,30,-0.004573233333333343,-93.2911806076083,4.902106826762975e-05,2,-0.004585467241379315,-169.4303613223698,2.7064023269446324e-05,least freq sample,233424280
10,0.1333044,0.06894806,MT,0.13333333333333333,0.06896551724137931,30,-2.8933333333341915e-05,-0.590222415704628,4.902106826762975e-05,2,-1.7457241379303934e-05,-0.6450349678427938,2.7064023269446324e-05,extreme items,429496729
11,0.12878088,0.06439044,MT,0.13333333333333333,0.06896551724137931,30,-0.004552453333333345,-92.86728123669802,4.902106826762975e-05,2,-0.004575077241379316,-169.04645683423968,2.7064023269446324e-05,least freq sample,429496729
12,0.1333451,0.06896697,SHA256,0.13333333333333333,0.06896551724137931,30,1.1766666666662706e-05,0.24003284878295134,4.902106826762975e-05,2,1.452758620693051e-06,0.05367859043829338,2.7064023269446324e-05,extreme items,100
13,0.12869318,0.06434659,SHA256,0.13333333333333333,0.06896551724137931,30,-0.004640153333333341,-94.65630793683435,4.902106826762975e-05,2,-0.004618927241379314,-170.66668896171873,2.7064023269446324e-05,least freq sample,100
14,0.1333653,0.06898401,SHA256,0.13333333333333333,0.06896551724137931,30,3.1966666666660704e-05,0.6521005721894755,4.902106826762975e-05,2,1.8492758620688998e-05,0.6832967307401862,2.7064023269446324e-05,extreme items,233424280
15,0.1287275,0.06436375,SHA256,0.13333333333333333,0.06896551724137931,30,-0.004605833333333337,-93.95620079488806,4.902106826762975e-05,2,-0.004601767241379312,-170.0326368908511,2.7064023269446324e-05,least freq sample,233424280
16,0.13333776,0.06896982,SHA256,0.13333333333333333,0.06896551724137931,30,4.426666666668133e-06,0.09030130968384482,4.902106826762975e-05,2,4.302758620691738e-06,0.15898444136904424,2.7064023269446324e-05,extreme items,429496729
17,0.12878862,0.06439431,SHA256,0.13333333333333333,0.06896551724137931,30,-0.004544713333333339,-92.70938994069954,4.902106826762975e-05,2,-0.004571207241379313,-168.90346257350194,2.7064023269446324e-05,least freq sample,429496729
18,0.13332364,0.06896538,MT_choice,0.13333333333333333,0.06896551724137931,30,-9.693333333338217e-06,-0.19773810885592324,4.902106826762975e-05,2,-1.3724137930271052e-07,-0.005070989554522291,2.7064023269446324e-05,extreme items,100
19,0.1286804,0.0643402,MT_choice,0.13333333333333333,0.06896551724137931,30,-0.004652933333333331,-94.91701216976168,4.902106826762975e-05,2,-0.004625317241379309,-170.90279576433184,2.7064023269446324e-05,least freq sample,100
20,0.13332284,0.06895682,MT_choice,0.13333333333333333,0.06896551724137931,30,-1.0493333333333466e-05,-0.21405762265410613,4.902106826762975e-05,2,-8.697241379307386e-06,-0.3213580365608854,2.7064023269446324e-05,extreme items,233424280
21,0.12878064,0.06439032,MT_choice,0.13333333333333333,0.06896551724137931,30,-0.00455269333333333,-92.87217709083718,4.902106826762975e-05,2,-0.0045751972413793085,-169.0508907648049,2.7064023269446324e-05,least freq sample,233424280
22,0.1333323,0.06895935,MT_choice,0.13333333333333333,0.06896551724137931,30,-1.0333333333445438e-06,-0.021079371989673433,4.902106826762975e-05,2,-6.167241379306798e-06,-0.22787600047141726,2.7064023269446324e-05,extreme items,429496729
23,0.12873188,0.06436594,MT_choice,0.13333333333333333,0.06896551724137931,30,-0.0046014533333333385,-93.86685145684253,4.902106826762975e-05,2,-0.004599577241379313,-169.95171765803065,2.7064023269446324e-05,least freq sample,429496729
